"seed name","Disease Name","Timing","Symptoms","Solutions (Based on Similar Millets)"
"samai","Downy Mildew","Cool, humid weather","- Yellowish or greenish-white patches with a downy growth on leaves. - Stunted growth, malformed leaves, and reduced grain yield.","- Plant resistant Saamai varieties (if available). - Cultural practices: Proper spacing for air circulation, crop rotation with non-susceptible crops. - Fungicide application (copper-based or strobilurin-based) as a preventive measure (consult a specialist for specific products and application details)."
"samai","Ergot Disease","Flowering stage, cool, humid conditions","- Dark, elongated structures replace Saamai grains (similar to ergot in Ragi). - Ergot sclerotia are harmful if consumed by humans or livestock.","- Plant disease-resistant Saamai varieties (if available). - Cultural practices: Ensure proper drainage to avoid moisture buildup during flowering. - Destroy any ergot-infected plant material to prevent further spread."
"samai","Rust Disease","Any stage, more prevalent in cooler weather","- Orange or brown pustules appear on leaves and stems. - Yellowing and withering of affected plant parts. - Reduced grain yield in severe cases.","- Plant rust-resistant Saamai varieties (if available). - Cultural practices: Good field sanitation (remove crop residue after harvest). - Fungicide application (sulfur-based) as a preventive measure (consult a specialist for specific products and application details)."
"samai","Smut Disease","Throughout growing season","- Black, powdery masses of fungal spores replace Saamai grains. - Infected plants may be stunted.","- Plant disease-resistant Saamai varieties (if available). - Cultural practices: Crop rotation with non-susceptible crops. - Seed treatment with fungicides (consult a specialist for specific recommendations)."
"Coconut","Coconut Leaf Wilt (CoLD)","Any stage of growth","- Yellowing and drooping of fronds, starting from the younger ones. - Stunted growth, fewer and smaller nuts. - Eventually, crown death.","- No cure, removal of infected trees is crucial to prevent spread. - Plant disease-resistant coconut varieties (limited availability). - Implement strict quarantine measures to prevent introduction of the disease."
"Coconut","Bud Rot","All stages, but more common in young trees","- Yellowing and wilting of the central bud (heart of palm). - Brown discoloration and rotting of the bud tissues. - Stunted growth and eventual death of the tree.","- Cultural practices: Proper sanitation (remove and destroy infected parts), improve drainage. - Fungicide application (copper-based or propiconazole) as a preventive measure (consult a specialist)."
"Coconut","Gray Leaf Spot","All stages, worse during humid weather","- Circular, gray to brown spots with dark borders on leaves. - Spots may merge and cause extensive leaf damage. - Reduced nut yield in severe cases.","- Cultural practices: Proper sanitation (remove infected leaves), improve air circulation. - Fungicide application (copper-based) as a preventive measure (consult a specialist)."
"Coconut","Maize Lethal Necrosis Disease (MLND)","Any stage of growth","- Yellow streaking and necrosis (death) of young leaves. - Stunted growth, malformed nuts, and premature nut drop.","- No cure, removal of infected trees is crucial to prevent spread. - Control insect vectors (leafhoppers) with insecticidal soap or neem oil sprays. - Plant tolerant coconut varieties (limited availability in some regions)."
"Coconut","Kapur Wilt","All stages, more common in stressed trees","- Yellowing and wilting of outer leaves, progressing inwards. - Brown discoloration of vascular tissues in the stem. - Premature nut drop and eventual death of the tree.","- Cultural practices: Proper nutrition and irrigation to maintain tree health. - Remove and destroy infected trees to prevent spread. - Fungicide application (propiconazole) as a preventive measure in some cases (consult a specialist)."
"Ground nut","Early Leaf Spot","Vegetative stage (humid conditions)","Small, brown spots on leaves, enlarging and turning gray with dark margins. Can cause defoliation if severe.","Cultural practices: Crop rotation, remove crop residue after harvest. Fungicides (copper-based) may be used as a preventive measure (consult a specialist)."
"Ground nut","Late Leaf Spot","Podding stage (warm, humid weather)","Large, brown spots with dark centers on leaves and stems. May cause leaf drop and affect pod development.","Planting resistant groundnut varieties. Cultural practices: Proper spacing for air circulation, avoid overhead watering. Fungicides (strobilurin-based) may be recommended by a specialist for severe cases."
"Ground nut","Rust","Throughout growing season (cool, humid weather)","Small, orange or brown pustules on leaves and stems. Can cause yellowing and defoliation if severe.","Planting resistant groundnut varieties. Cultural practices: Crop rotation, remove crop residue after harvest. Fungicides (sulfur-based) may be used as a preventive measure (consult a specialist)."
"Ground nut","Tomato Spotted Wilt Virus (TSWV)","Any stage of growth","Yellow mottling, bronzing, or distortion of leaves. Stunted growth, wilting, and poor pod development.","Controlling thrips populations with insecticidal soap or neem oil sprays. Removing and destroying infected plants to prevent further spread. No direct cure for the virus in the plant."
"Ground nut","Groundnut Rot (Aspergillus flavus)","During pod development and storage (warm, humid conditions)","Wilting of plants, rotting of pods, and discoloration of kernels. Contaminated peanuts can produce harmful toxins.","Cultural practices: Proper drainage, harvesting mature pods before shelling, drying pods thoroughly before storage. Fungicides may be used as a preventive measure under specific conditions (consult a specialist)."
"Sugarcane","Red Rot","Throughout growing season, but more severe in warm, humid conditions","Wilting and reddening of leaves, rotting of roots and lower stalk internodes","Use disease-resistant sugarcane varieties.  Practice crop rotation with non-susceptible crops. Improve drainage and avoid overwatering. Fungicide treatment might be an option in some cases (consult an agricultural specialist)."
"Sugarcane","Smut","Seedling stage and early growth","","","Poor germination, stunted growth, blackened whip-like structures emerge from buds"," Use disease-free seed cane. Hot water treatment of seed cane before planting."
"Sugarcane","Rust","","Late Season","Yellowish-brown to reddish pustules on leaves, reduced sugar content in stalks","Use resistant sugarcane varieties. Avoid planting in areas with a history of rust. Fungicide application might be used in some situations (consult an agricultural specialist)."
"Sugarcane","Ratoon Stunting Disease (RSD):","Throughout growing season","Stunted growth, yellowing of leaves, shortened internodes","Use disease-resistant varieties. Control insect pests that can spread the disease (leafhoppers). Roguing (removing) infected plants to prevent spread."
"Sugarcane","Sugarcane Mosaic Virus (SCMV)","Throughout growing season","Stunted growth, yellow mottling or streaking on leaves","Use disease-resistant varieties. Control insect pests that can spread the disease (aphids).  Roguing infected plants to prevent spread."
"Sugarcane","Sugarcane Yellow Leaf Virus (SCYLV)","Throughout growing season","Yellowing and drying of leaves, stunted growth","Management strategies similar to SCMV."
"cotton","Verticillium","Throughout growing season","Yellowing & wilting of leaves, one-sided wilting, stunted growth","Use resistant varieties, practice crop rotation, improve soil drainage"
"cotton","Fusarium Wilt","Throughout growing season","Similar to Verticillium Wilt, affects both sides","Management similar to Verticillium Wilt"
"cotton","Rhizoctonia Root Rot","Seedling stage & early growth","Seedling death, stunted growth, reddish-brown lesions on roots","","","Fungicide seed treatment, crop rotation, proper irrigation"
"cotton","BacteriL Blight","All stages of growth","Water-soaked lesions, angular spots, oozing fluid","Use resistant varieties, control insects, copper-based bactericides (consult specialist)"
"cotton","Cotton Leaf Curl Virus (CLCuV)","Throughout growing season","Stunted growth, puckered & yellowed leaves, vein clearing","Control whiteflies, use insecticides, roguing infected plants"
"cotton","Cotton Leafroll Dwarf Virus (CLRDV)","Throughout growing season","Stunted growth, upward curling of leaves, reddish/purple discoloration","Similar management strategies as CLCuV"
Blast - Pyricularia grisea (P. oryzae),Leaf Blast,Cultural Methods,,
Blast - Pyricularia grisea (P. oryzae),- Weed Removal,Remove collateral weed hosts from bunds and channels.,
Blast - Pyricularia grisea (P. oryzae),"Severe cases of infection - entire crop give a blasted or burnt appearance- hence the name ""BLAST""",- Disease-free Seedlings,Use only disease-free seedlings for planting.,
Blast - Pyricularia grisea (P. oryzae),Severe cases - lodging of crop (after ear emergence),- Nitrogen Management,Avoid excess nitrogen application.,
Blast - Pyricularia grisea (P. oryzae),- Split Nitrogen Application,"Apply nitrogen in three split doses: 50% basal, 25% in tillering phase, and 25% in panicle initiation stage.",
Blast - Pyricularia grisea (P. oryzae),- Resistant Variety,Use resistant variety CO 47 (if available).,
Blast - Pyricularia grisea (P. oryzae),Neck Blast,Chemical Methods,Spray after observing initial infection of the disease (choose one option):,
Blast - Pyricularia grisea (P. oryzae),- Carbendazim,Carbendazim 50WP @ 500g/ha,
Blast - Pyricularia grisea (P. oryzae),"Neck region of panicle develops a black color and shrivels completely / partially grain set inhibited, panicle breaks at the neck and hangs",- Tricyclozole,Tricyclozole 75 WP @ 500g/ha,
Blast - Pyricularia grisea (P. oryzae),- Metominostrobin,Metominostrobin 20 SC @ 500ml/ha,
Blast - Pyricularia grisea (P. oryzae),- Azoxystrobin,Azoxystrobin 25 SC @ 500 ml/ha,
Blast - Pyricularia grisea (P. oryzae),Nodal Blast,Biological Methods,Use TNAU Pf 1 liquid formulation (choose one application method):,
Blast - Pyricularia grisea (P. oryzae),- Seed Treatment,Seed Treatment with TNAU Pf 1 @ 10 ml/kg of seeds,
Blast - Pyricularia grisea (P. oryzae),Nodes become black and break up ,- Seedling Root Dip,Seedling root dipping with TNAU Pf 1 (500 ml for one hectare seedlings),
Blast - Pyricularia grisea (P. oryzae),- Soil Application,Soil application with TNAU Pf 1 (500ml/ha),
Blast - Pyricularia grisea (P. oryzae),- Foliar Spray,Foliar spray with TNAU Pf 1 @ 5ml/lit,
Sheath Blight: Rhizoctonia solani,Initial symptoms are noticed on leaf sheaths near water level.,Cultural Method,,
Sheath Blight: Rhizoctonia solani,Initial symptoms are noticed on leaf sheaths near water level.,Neem Cake Application,Apply Neem cake at 150 kg/ha,
Sheath Blight: Rhizoctonia solani,Initial symptoms are noticed on leaf sheaths near water level.,Botanical Method,,
Sheath Blight: Rhizoctonia solani,Initial symptoms are noticed on leaf sheaths near water level.,Neem Oil Spray,Foliar spray with Neem oil at 3% (15 lit /ha) starting from disease appearance.,
Sheath Blight: Rhizoctonia solani,On the leaf sheath oval or elliptical or irregular greenish grey spots are formed.,Chemical Methods,Spray after observing initial infection of the disease (choose one option):,
Sheath Blight: Rhizoctonia solani,On the leaf sheath oval or elliptical or irregular greenish grey spots are formed.,Carbendazim,Carbendazim 50 WP @ 500g/ha,
Sheath Blight: Rhizoctonia solani,On the leaf sheath oval or elliptical or irregular greenish grey spots are formed.,Azoxystrobin,Azoxystrobin @ 500ml/ha,
Sheath Blight: Rhizoctonia solani,On the leaf sheath oval or elliptical or irregular greenish grey spots are formed.,Hexaconazole,Hexaconazole 75% WG @ 100mg/lit. Apply two sprays: 1st at disease appearance and 2nd 15 days later.,
Sheath Blight: Rhizoctonia solani,On the leaf sheath oval or elliptical or irregular greenish grey spots are formed.,Biological Methods,Use TNAU Pf 1 liquid formulation (choose one application method):,
Sheath Blight: Rhizoctonia solani,"As the spots enlarge, the centre becomes greyish white with an irregular blackish brown or purple brown border.",Seed Treatment,Seed Treatment with TNAU Pf 1 @ 10 ml/kg of seeds,
Sheath Blight: Rhizoctonia solani,"As the spots enlarge, the centre becomes greyish white with an irregular blackish brown or purple brown border.",Seedling Root Dip,Seedling root dipping with TNAU Pf 1 (500 ml for one hectare seedlings),
Sheath Blight: Rhizoctonia solani,"As the spots enlarge, the centre becomes greyish white with an irregular blackish brown or purple brown border.",Soil Application,Soil application with TNAU Pf 1 (500ml/ha),
Sheath Blight: Rhizoctonia solani,"As the spots enlarge, the centre becomes greyish white with an irregular blackish brown or purple brown border.",Foliar Spray,Foliar spray with TNAU Pf 1 @ 5ml/lit,
Sheath Rot: Sarocladium oryzae,Discoloration in the flag leaf sheath,Cultural Method,Apply Gypsum @ 500 kg/ha in two equal splits: one basal application and another at active tillering stage.,
Sheath Rot: Sarocladium oryzae,Rotting occurs on the leaf sheath that encloses the young panicles.,Botanical Methods,Spray one of the following options at boot leaf stage and again 15 days later:,
Sheath Rot: Sarocladium oryzae,"irregular spots or lesions, with dark reddish brown margins and gray center",Neem Oil,Neem oil 3% solution,
